symbol,sector,exchange
360ONE,Financial Services,NSE
3MINDIA,Diversified,NSE
ABB,Capital Goods,NSE
ACC,Construction Materials,NSE
ACMESOLAR,Power,NSE
AIAENG,Capital Goods,NSE
APLAPOLLO,Capital Goods,NSE
ASKAUTOLTD,Automobile and Auto Components,NSE
AUBANK,Financial Services,NSE
AWL,Fast Moving Consumer Goods,NSE
AXISCADES,Capital Goods,NSE
AADHARHFC,Financial Services,NSE
AARTIDRUGS,Healthcare,NSE
AARTIIND,Chemicals,NSE
AARTIPHARM,Healthcare,NSE
AAVAS,Financial Services,NSE
ABBOTINDIA,Healthcare,NSE
ACE,Capital Goods,NSE
ACUTAAS,Healthcare,NSE
ADANIENSOL,Power,NSE
ADANIENT,Metals & Mining,NSE
ADANIGREEN,Power,NSE
ADANIPORTS,Services,NSE
ADANIPOWER,Power,NSE
ATGL,Oil Gas & Consumable Fuels,NSE
ABCAPITAL,Financial Services,NSE
ABFRL,Consumer Services,NSE
ABLBL,Consumer Services,NSE
ABREL,Realty,NSE
ABSLAMC,Financial Services,NSE
CPPLUS,Capital Goods,NSE
AVL,Consumer Services,NSE
ADVENZYMES,Healthcare,NSE
AEGISLOG,Oil Gas & Consumable Fuels,NSE
AEGISVOPAK,Oil Gas & Consumable Fuels,NSE
AEQUS,Capital Goods,NSE
AETHER,Chemicals,NSE
AFCONS,Construction,NSE
AFFLE,Information Technology,NSE
AHLUCONT,Construction,NSE
AJANTPHARM,Healthcare,NSE
AKUMS,Healthcare,NSE
APLLTD,Healthcare,NSE
ALIVUS,Healthcare,NSE
ALKEM,Healthcare,NSE
ALKYLAMINE,Chemicals,NSE
ABDL,Fast Moving Consumer Goods,NSE
ALOKINDS,Textiles,NSE
ARE&M,Automobile and Auto Components,NSE
AMBER,Consumer Durables,NSE
AMBUJACEM,Construction Materials,NSE
ANANDRATHI,Financial Services,NSE
ANANTRAJ,Realty,NSE
ANGELONE,Financial Services,NSE
ANTHEM,Healthcare,NSE
ANURAS,Chemicals,NSE
APARINDS,Capital Goods,NSE
APOLLOHOSP,Healthcare,NSE
APOLLO,Capital Goods,NSE
APOLLOTYRE,Automobile and Auto Components,NSE
APTUS,Financial Services,NSE
ACI,Chemicals,NSE
ARVINDFASN,Consumer Services,NSE
ARVIND,Textiles,NSE
